outer_fold,train_rows,validation_rows,best_k,inner_best_accuracy,outer_accuracy
1,712,179,28,0.8314606741573033,0.8324022346368715
2,713,178,28,0.8162623187496076,0.848314606741573
3,713,178,all,0.8386949971753186,0.7921348314606742
4,713,178,20,0.828957692549118,0.848314606741573
5,713,178,32,0.8246892850417425,0.8539325842696629
