model,evaluation_scope,weight_policy,group_outer_oof_accuracy,group_outer_oof_roc_auc,stratified_outer_oof_accuracy,stratified_outer_oof_roc_auc
LR,outer_fold_oof,not_applicable_single_model,0.8237934904601572,0.8454313531247671,0.8294051627384961,0.8827506684135961
XGB,outer_fold_oof,not_applicable_single_model,0.8047138047138047,0.8584560977428393,0.8417508417508418,0.88153900233279
ExtraTrees,outer_fold_oof,not_applicable_single_model,0.8058361391694725,0.8503046474717456,0.8215488215488216,0.8862258865134909
CatBoost,outer_fold_oof,not_applicable_single_model,0.8114478114478114,0.8576944790634753,0.8439955106621774,0.8903934852309888
NestedFoldSpecificOOFBlend,outer_fold_oof,inner_oof_weights_learned_separately_per_outer_fold,0.8125701459034792,0.8582031125171763,0.8417508417508418,0.8906011994162698
