model,accuracy,f1,roc_auc
family_ticket_catboost,0.8327721661054994,0.7638668779714739,0.8904334302666197
same_split_catboost_baseline,0.8383838383838383,0.7699680511182109,0.8871100033021229
nested_catboost_family_blend,0.8406285072951739,0.7753164556962026,0.8884335154826959
