fold,selected_configuration,signal_accuracy,signal_f1,signal_roc_auc,baseline_accuracy,baseline_f1,baseline_roc_auc,blend_family_weight,blend_accuracy,policy_family_low,policy_ticket_high,policy_changed
1,"{'smoothing': 2.0, 'min_support': 2, 'decision_threshold': 0.58, 'policy': 'conservative'}",0.8547486033519553,0.7903225806451613,0.9146245059288538,0.8603351955307262,0.8,0.9152832674571805,1.0,0.8603351955307262,13,3,2
2,"{'smoothing': 2.0, 'min_support': 2, 'decision_threshold': 0.58, 'policy': 'none'}",0.8426966292134831,0.7666666666666667,0.8975267379679144,0.848314606741573,0.7874015748031497,0.9013368983957218,0.25,0.8595505617977528,0,0,0
3,"{'smoothing': 2.0, 'min_support': 2, 'decision_threshold': 0.5, 'policy': 'none'}",0.7865168539325843,0.6984126984126984,0.8673128342245989,0.8146067415730337,0.7226890756302521,0.8636363636363636,0.25,0.8089887640449438,0,0,0
4,"{'smoothing': 2.0, 'min_support': 2, 'decision_threshold': 0.5, 'policy': 'none'}",0.8370786516853933,0.7786259541984732,0.8914438502673798,0.8370786516853933,0.7786259541984732,0.8863636363636364,1.0,0.8370786516853933,0,0,0
5,"{'smoothing': 2.0, 'min_support': 2, 'decision_threshold': 0.5, 'policy': 'none'}",0.8426966292134831,0.7846153846153846,0.8960244648318043,0.8314606741573034,0.7580645161290323,0.8774099188937641,0.25,0.8370786516853933,0,0,0
